Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
Rolex,Datejust,126334,Excellent,No,No,"$13,100"
Blancpain,Villeret GMT,6260-1542-55,Excellent,No,No,"$9,500"
Tudor,Heritage Black Bay,79360,Excellent,Yes,Yes,"$5,600"
Panerai,Luminor Marina 1950,PAM 422,Excellent,Yes,Yes,"$7,850"
Panerai,Radiomir GMT,PAM 323,Excellent,No,No,"$5,800"
Panerai,Luminor Marina 1950,PAM 661,Excellent,Yes,Yes,"$7,550"
Cartier,Santos 100,W20073X8,Excellent,Yes,Yes,"$5,950"
Cartier,Santos de Cartier,WSSA0018,Excellent,Yes,Yes,"$7,150"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,700"
Hublot,Big Bang Evolution,301.SX.130.RX,Excellent,No,No,"$8,450"
OMEGA,Speedmaster Professional Moonwatch,311.33.42.30.01.001,Excellent,Yes,Yes,"$4,600"
OMEGA,Seamaster 300M,2598.80.00,Excellent,No,No,"$3,000"
IWC,Pilot Le Petit Prince,IW3777-14,Excellent,Yes,Yes,"$4,800"
Grand Seiko,Evolution 9 Spring Drive,SLGA009,Excellent,Yes,Yes,"$7,050"
Grand Seiko,Heritage Quartz,SBGX261,Excellent,Yes,Yes,"$2,050"
Tudor,Heritage Black Bay,79500,Excellent,Yes,Yes,"$3,150"
Rolex,Datejust,126334,Excellent,Yes,Yes,"$13,600"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$10,700"
Rolex,Submariner,116610,Excellent,Yes,Yes,"$12,400"
IWC,Pilot Mark XVI,IW3255-02,Excellent,No,No,"$3,200"
Cartier,Tank Must,WSTA0053,Excellent,Yes,Yes,"$4,400"
IWC,Pilot Mark XVIII,IW3270-10,Excellent,Yes,Yes,"$3,900"
OMEGA,Seamaster Planet Ocean,215.30.44.21.03.001,Excellent,Yes,Yes,"$4,800"
OMEGA,Seamaster Aqua Terra,231.10.42.21.03.004,Excellent,No,No,"$6,700"
IWC,Aquatimer,IW3290-03,Excellent,No,No,"$3,900"
Zenith,Defy Classic,95.9000.670,Excellent,Yes,Yes,"$4,650"
Rolex,Datejust,16200,Excellent,No,No,"$6,200"
Cartier,Santos de Cartier,W2SA0016,Very Good,Yes,Yes,"$7,900"
OMEGA,Speedmaster Racing,326.30.40.50.01.002,Excellent,Yes,Yes,"$3,900"
OMEGA,Speedmaster Legend,3507.51.00,Excellent,No,No,"$5,300"
Rolex,Datejust,126334,Excellent,No,No,"$13,100"
Blancpain,Villeret GMT,6260-1542-55,Excellent,No,No,"$9,500"
Tudor,Heritage Black Bay,79360,Excellent,Yes,Yes,"$5,600"
Panerai,Luminor Marina 1950,PAM 422,Excellent,Yes,Yes,"$7,850"
Panerai,Radiomir GMT,PAM 323,Excellent,No,No,"$5,800"
Panerai,Luminor Marina 1950,PAM 661,Excellent,Yes,Yes,"$7,550"
Cartier,Santos 100,W20073X8,Excellent,Yes,Yes,"$5,950"
Cartier,Santos de Cartier,WSSA0018,Excellent,Yes,Yes,"$7,150"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,700"
Hublot,Big Bang Evolution,301.SX.130.RX,Excellent,No,No,"$8,450"
OMEGA,Speedmaster Professional Moonwatch,311.33.42.30.01.001,Excellent,Yes,Yes,"$4,600"
OMEGA,Seamaster 300M,2598.80.00,Excellent,No,No,"$3,000"
IWC,Pilot Le Petit Prince,IW3777-14,Excellent,Yes,Yes,"$4,800"
Grand Seiko,Evolution 9 Spring Drive,SLGA009,Excellent,Yes,Yes,"$7,050"
Grand Seiko,Heritage Quartz,SBGX261,Excellent,Yes,Yes,"$2,050"
Tudor,Heritage Black Bay,79500,Excellent,Yes,Yes,"$3,150"
Rolex,Datejust,126334,Excellent,Yes,Yes,"$13,600"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$10,700"
Rolex,Submariner,116610,Excellent,Yes,Yes,"$12,400"
IWC,Pilot Mark XVI,IW3255-02,Excellent,No,No,"$3,200"
Cartier,Tank Must,WSTA0053,Excellent,Yes,Yes,"$4,400"
IWC,Pilot Mark XVIII,IW3270-10,Excellent,Yes,Yes,"$3,900"
OMEGA,Seamaster Planet Ocean,215.30.44.21.03.001,Excellent,Yes,Yes,"$4,800"
OMEGA,Seamaster Aqua Terra,231.10.42.21.03.004,Excellent,No,No,"$6,700"
IWC,Aquatimer,IW3290-03,Excellent,No,No,"$3,900"
Zenith,Defy Classic,95.9000.670,Excellent,Yes,Yes,"$4,650"
Rolex,Datejust,16200,Excellent,No,No,"$6,200"
Cartier,Santos de Cartier,W2SA0016,Very Good,Yes,Yes,"$7,900"
OMEGA,Speedmaster Racing,326.30.40.50.01.002,Excellent,Yes,Yes,"$3,900"
OMEGA,Speedmaster Legend,3507.51.00,Excellent,No,No,"$5,300"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,800"
Tudor,Heritage Black Bay,79540,Excellent,Yes,Yes,"$2,700"
Zenith,Chronomaster Original,03.3200.3600,Excellent,No,No,"$6,700"
Breitling,Super Avenger II,A13371,Excellent,No,No,"$4,000"
Cartier,Pasha Seatimer,W31080M7,Excellent,No,No,"$3,400"
Rolex,Datejust Turn-O-Graph,116264,Excellent,No,No,"$9,000"
Breitling,Chronomat 01,AB0134,Excellent,Yes,Yes,"$5,100"
OMEGA,Speedmaster Moonwatch,311.32.40.30.01.001,Excellent,Yes,Yes,"$6,100"
Rolex,Oyster Perpetual,77080,Very Good,No,No,"$4,100"
Rolex,Datejust,16200,Very Good,No,No,"$5,975"
Rolex,Datejust,69173,Very Good,No,No,"$4,025"
Rolex,Explorer II,16570,Excellent,Yes,Yes,"$9,550"
